이름,슬롯,타입,옵션
Bracers of Destruction,Wrists,Bracers,Seismic Slam deals 300–400% increased damage to the first 5 enemies it hits.
Bracers of the First Men,Wrists,Bracers,Hammer of the Ancients attacks 50% faster and deals 150–200% increased damage.
Breastplate of Akkhan,Chest,Set Chest Armor,Part of the Armor of Akkhan set ; The two piece set bonus will increase your Strength by 500. ; The four piece bonus decreases the cost of all your abilities by 50% during the 20 seconds that Akarat's Chamption is active. ; The six piece bonus reduces the cooldown of Akarat's Chamption down to 45 seconds. ; Armor of Akkhan Cuisses of Akkhan ; Gauntlets of Akkhan
Broken Crown,Head,Helmet,No Unique Property
Broken Promises,Ring,Ring,"After 5 consecutive non-critical hits, your chance to critically hit is increased to 100% for 3 seconds. ; This item was added in a recent patch, please comment below if you have any information explaining how this item works. Flavour Text A great melancholy has been known to strike those who wear this ring. Archaic hieroglyphs inscribed on its band tell a tale of unrelenting heartbreak and sorrow."
Bul-Kathos's Solemn Vow,Weapon (1H),Set One-Handed Mighty Weapon,Part of the Bul-Kathos ; Basic Information ; Advanced Information ; Pictures and Video ; On attack has chance to surround you in spinning weapons that acts as a damage aura damaging everything around you. ; Benefits from Physical skills deal X% more damage .
Bul-Kathos's Warrior Blood,Weapon (1H),Set One-Handed Mighty Weapon,Part of the Bul-Kathos ; Basic Information ; Advanced Information ; Pictures and Video ; On attack has chance to surround you in spinning weapons that acts as a damage aura damaging everything around you. ; Benefits from Physical skills deal X% more damage .
Bul-Kathos's Wedding Band,Ring,Ring,You drain life from enemies around you. ; The healing effect is 1% of your maximum life per second as long as an enemy is nearby. ; Damage all surrounding enemies within 5 yards for 0.4% of their current life. ; As of patch 2.1.0 this ring's damage is now capped at 2000% weapon damage per second ; The following video was made by ccmdia and showcases the rings damaging effect on Azmodan.
Burden of the Invoker,Shoulders,Set Shoulders,"Part of the Thorns of the Invoker set ; The two piece set bonus will increase your Thorns by 4,000. ; The three piece bonus will cause any enemies within 15 yards to be hit by your Thorns damage. ; Thorns of the Invoker Burden of the Invoker ; Pride of the Invoker ; Shackles of the Invoker"
Buriza-do Kyanon,Weapon (2H),Crossbow,"Your projectiles pierce 1–2 additional times. ; Item has an Internal Cooldown of 1 second. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Burst Of Wrath,Weapon (2H),Two-Handed Axe,"Killing enemies and destroying objects has a chance to grant 20% of your maximum primary resource. ; Randomly drops from the Act 3 & 4 Horadric Cache, the reward for completing all 5 bounties in the act. ; This item is a Reaper of Souls only item. ; Level 18 Stats ; Level 70 Stats ; The minimum level this item can drop at is 18. Below you will find the range of stats found on the level 18 version, however the item can drop at any level above 18. The legendary effect does not change with level."
Butcher's Carver,Weapon (2H),Two-Handed Axe,"The Butcher still inhabits his carver. ; Every time you swing your weapon a random sound effect that the Butcher uses will be played. ; Level 29 Stats ; Level 70 Stats ; The minimum level this item can drop at is 29. Below you will find the range of stats found on the level 29 version, however the item can drop at any level above 29. The legendary effect does not change with level. ; Damage"
Cage of the Hellborn,Chest,Set Cloak,Part of the Unhallowed Essence set
Cain's Habit,Legs,Set Pants,Crafted Set Pants that have 6 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 8%. ; The three piece set bonus increases your Magic Find by 50% and your Bonus Experience by 50%. ; Cain's Destiny Cain's Habit ; Cain's Scrivener ; Cain's Travelers
Cain's Insight,Head,Set Helmet,Crafted Set Helmet that has 5 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 8%. ; The three piece set bonus increases your Magic Find by 50% and your Bonus Experience by 50%. ; Cain's Destiny Cain's Habit ; Cain's Scrivener ; Cain's Travelers
Cain's Memory,Head,Set Helmet,Crafted Set Helmet that has 3 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 2%. ; The three piece set bonus increases your Magic Find by 10% and your Bonus Experience by 30%. ; Cain's Fate Cain's Memory ; Cain's Robes ; Cain's Sandals
Cain's Robes,Legs,Set Pants,9–10% Better Chance of Finding Magical Items Crafted Set Pants that have 3 random Magic Properties Part of the Cain ; Magic Find has been almost entirely removed from the game. This is one of the few pieces that still has it. ; The two piece set bonus increases your Attack Speed by 2%. ; The three piece set bonus increases your Magic Find by 10% and your Bonus Experience by 30%. ; Cain's Fate Cain's Memory ; Cain's Robes
Cain's Sandals,Feet,Set Boots,Crafted Set Boots that have 3 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 2%. ; The three piece set bonus increases your Magic Find by 10% and your Bonus Experience by 30%. ; Cain's Fate Cain's Memory ; Cain's Robes ; Cain's Sandals
Cain's Scribe,Hands,Set Gloves,Crafted Set Gloves that have 3 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 2%. ; The three piece set bonus increases your Magic Find by 10% and your Bonus Experience by 30%. ; Cain's Fate Cain's Memory ; Cain's Robes ; Cain's Sandals
Cain's Scrivener,Hands,Set Gloves,Crafted Set Gloves that have 6 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 8%. ; The three piece set bonus increases your Magic Find by 50% and your Bonus Experience by 50%. ; Cain's Destiny Cain's Habit ; Cain's Scrivener ; Cain's Travelers
Cain's Travelers,Feet,Set Boots,Crafted Set Boots that have 6 random Magic Properties Part of the Cain ; The two piece set bonus increases your Attack Speed by 8%. ; The three piece set bonus increases your Magic Find by 50% and your Bonus Experience by 50%. ; Cain's Destiny Cain's Habit ; Cain's Scrivener ; Cain's Travelers
Calamity,Weapon (1H),Hand Crossbow,"Enemies you hit become Marked for Death. ; Applies the unruned version of Marked for Death - The marked enemy takes 20% additional damage for the next 30 seconds. ; Level 60 Stats ; Level 70 Stats ; The minimum level this item can drop at is 60. Below you will find the range of stats found on the level 60 version, however the item can drop at any level above 60. The legendary effect does not change with level. ; Damage"
Caldeum Nightshade,Material,Crafting Material,Obtained from Act 2 Horadric Caches and used in Kanai Cube Recipes. ; Obtained from Act 2 Horadric Caches. Used in Kanai Cube Recipes. ; Maximum Stack Amount: 5000
Cam's Rebuttal,Weapon (2H),Two-Handed Sword,"Falling Sword can be used again within 4 seconds before the cooldown is triggered. ; Details will be added after the item has been fully tested. If you have any information about this particular item please comment below. ; Level 61 Stats ; Level 70 Stats ; The minimum level this item can drop at is 61. Below you will find the range of stats found on the level 61 version, however the item can drop at any level above 61. The legendary effect does not change with level. ; Damage"
Cape of the Dark Night,Chest,Cloak,"Automatically drop Caltrops when you are hit. This effect may only occur once every 6 seconds. ; When you are hit you drop Caltrops - ""Lay a trap of caltrops on the ground that activates when an enemy approaches. Once sprung, the caltrops Slow the movement of enemies within 12 yards by 60%. This trap lasts 6 seconds."" ; Level 31 Stats ; Level 70 Stats ; The minimum level this item can drop at is 31. Below you will find the range of stats found on the level 31 version, however the item can drop at any level above 31. The legendary effect does not change with level. ; 114-149 Base Armor"
Captain Crimson's Bowsprit,Legs,Set Pants,Attack Speed Increased by 3.0–4.0% +5% Chance to Block Crafted Set pants that have 4 random Magic Properties Part of the Captain Crimson ; Pants don't normally roll Attack Speed or Block Chance. ; The two piece set bonus will increase your Life Regeneration by 20/sec. ; The three piece set bonus will increase your All Resist by 20. ; Captain Crimson's Finery Captain Crimson's Bowsprit ; Captain Crimson's Whalers
Captain Crimson's Satin Sash,Waist,Set Belt,Crafted Set belt that has 4 random Magic Properties Part of the Captain Crimson ; The two piece set bonus will increase your Life Regeneration by 20/sec. ; The three piece set bonus will increase your All Resist by 20. ; Captain Crimson's Finery Captain Crimson's Bowsprit ; Captain Crimson's Whalers ; Captain Crimson's Satin Sash
Captain Crimson's Silk Girdle,Waist,Set Belt,"Crafted Set Belt that has 6 random Magic Properties Part of the Captain Crimson ; The two piece set bonus increases your Life Regen by 2,000 and it will reduce all your cooldowns by 10%. ; The three piece set bonus will give you 50 All Resist and it will reduce all your resource costs by 10%. ; Captain Crimson's Trimmings Captain Crimson's Thrust ; Captain Crimson's Waders ; Captain Crimson's Silk Girdle"
Captain Crimson's Thrust,Legs,Set Pants,"Crafted Set Pants that have 6 random Magic Properties Part of the Captain Crimson ; The two piece set bonus increases your Life Regen by 2,000 and it will reduce all your cooldowns by 10%. ; The three piece set bonus will give you 50 All Resist and it will reduce all your resource costs by 10%. ; Captain Crimson's Trimmings Captain Crimson's Thrust ; Captain Crimson's Waders ; Captain Crimson's Silk Girdle"
